"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 02/05/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.32,PATH,"UIPATH INC - CLASS A",BMD02L5,14.88,"653,088.00","9,717,949.44"
0.32,NICE,"NICE LTD - SPON ADR",2639736,173.15,"55,970.00","9,691,205.50"
0.32,BIDU,"BAIDU INC - SPON ADR",B0FXT17,88.63,"109,139.00","9,672,989.57"
0.32,G,"GENPACT LTD",B23DBK6,49.41,"195,116.00","9,640,681.56"
0.31,CYBR,"CYBERARK SOFTWAR",BQT3XY6,380.34,"25,028.00","9,519,149.52"
0.31,INFA,"INFORMATICA INC - CLASS A",BMG95P4,26.04,"364,337.00","9,487,335.48"
0.31,DXC,"DXC TECHNOLOGY CO",BYXD7B3,22.11,"425,529.00","9,408,446.19"
0.31,"TIETO FH","TIETOEVRY OYJ",5479702,19.20,"488,166.00","9,371,077.82"
0.31,VRNT,"VERINT SYSTEMS INC",2849193,26.27,"352,519.00","9,260,674.13"
0.30,"2353 TT","ACER INC",6005850,1.16,"7,932,900.00","9,221,214.74"
0.30,"TEMN SW","TEMENOS AG - REG",7147892,86.33,"106,239.00","9,171,245.49"
0.30,SNAP,"SNAP INC - A",BD8DJ71,10.63,"851,304.00","9,049,361.52"
0.30,AI,"C3.AI INC-A",BMGNBJ2,34.19,"264,388.00","9,039,425.72"
0.30,"3443 TT","GLOBAL UNICHIP CORP",B056381,41.08,"218,865.00","8,990,894.01"
0.30,"6588 JP","TOSHIBA TEC CORP",6894887,21.72,"413,516.00","8,982,683.49"
0.30,PEGA,"PEGASYSTEMS INC",2675860,108.49,"82,739.00","8,976,354.11"
0.30,"AMP IM","AMPLIFON SPA",B14NJ71,26.97,"331,845.00","8,950,183.52"
0.29,TDC,"TERADATA CORP",B247H10,31.65,"279,856.00","8,857,442.40"
0.29,CCCS,"CCC INTELLIGENT",BP4CXL8,11.07,"788,894.00","8,733,056.58"
0.29,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,15.81,"548,462.00","8,671,184.22"
0.28,AMBA,"AMBARELLA INC",B7KH3G6,78.76,"109,100.00","8,592,716.00"
0.28,WIX,"WIX.COM LTD",BFZCHN7,224.85,"38,037.00","8,552,619.45"
0.28,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,7.60,"1,122,413.00","8,530,338.80"
0.28,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,31.49,"269,259.00","8,478,965.91"
0.27,ZBRA,"ZEBRA TECH CORP",2989356,388.04,"21,384.00","8,297,847.36"
0.26,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,9.87,"809,071.00","7,985,530.77"
0.26,"5803 JP","FUJIKURA LTD",6356707,41.32,"192,974.00","7,972,884.84"
0.26,STX,"SEAGATE TECHNOLO",BKVD2N4,95.43,"82,945.00","7,915,441.35"
0.24,HUT,"HUT 8 CORP",BQQ8816,20.82,"353,631.00","7,362,597.42"
0.23,"6526 JP","SOCIONEXT INC",BMTVX75,13.66,"518,832.00","7,086,219.70"
0.22,,CASH,,1.00,"6,593,532.99","6,593,532.99"
0.00,,"SWISS FRANC",,1.11,132.60,147.23
0.00,,EURO,,1.04,-332.77,-346.80
-0.01,,"TAIWAN DOLLAR",,0.03,"-6,044,527.00","-183,931.08"
-0.03,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-1,013,062.59","-1,013,062.59"
-0.04,,"KOREAN WON",,0.00,"-1,837,306,739.00","-1,271,844.62"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
