ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,current_pe,forward_pe,current_ps,current_pb,peg_ratio,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
EXPN LN,EXPERIAN PLC,2016-11-01 00:00:00+00:00,2016,4,11,1507.9114990234375,1570.8243628899784,1579.8119148709127,1378.091303743274,67732300,913159452,1376963638112.7407,1376.9636381127407,37.80851,25.753624,4.313929,642.5601,,22.692390780200668,Industrials,Consulting Services,Ireland,23300,2016-Q4
EXPN LN,EXPERIAN PLC,2016-12-01 00:00:00+00:00,2016,4,12,1571.8228759765625,1500.9210816980772,1576.8159600806812,1470.962577073365,42574211,913159452,1435324916067.8218,1435.3249160678217,37.80851,25.753624,4.313929,642.5601,,31.087224842895345,Industrials,Consulting Services,Ireland,23300,2016-Q4
EXPN LN,EXPERIAN PLC,2017-01-01 00:00:00+00:00,2017,1,1,1526.98779296875,1571.9285717022972,1615.8706664639878,1486.041750122629,42662666,913159452,1394383336238.0332,1394.3833362380333,37.80851,25.753624,4.313929,642.5601,,28.516181793337836,Industrials,Consulting Services,Ireland,23300,2017-Q1
EXPN LN,EXPERIAN PLC,2017-02-01 00:00:00+00:00,2017,1,2,1594.898193359375,1536.9745269756281,1616.2321393660402,1522.9929523312753,32236396,913159452,1456396360243.837,1456.3963602438369,37.80851,25.753624,4.313929,642.5601,,35.0259714101079,Industrials,Consulting Services,Ireland,23300,2017-Q1
EXPN LN,EXPERIAN PLC,2017-03-01 00:00:00+00:00,2017,1,3,1625.8575439453125,1595.8970240937404,1646.829907841413,1587.9075521333211,32595128,913159452,1484667183859.1675,1484.6671838591674,37.80851,25.753624,4.313929,642.5601,,30.79234243156246,Industrials,Consulting Services,Ireland,23300,2017-Q1
EXPN LN,EXPERIAN PLC,2017-04-01 00:00:00+01:00,2017,2,4,1656.8167724609375,1639.83914429226,1670.7983485998484,1571.92863161755,34674299,913159452,1512937896004.8384,1512.9378960048384,37.80851,25.753624,4.313929,642.5601,,32.643619838253215,Industrials,Consulting Services,Ireland,23300,2017-Q2
EXPN LN,EXPERIAN PLC,2017-05-01 00:00:00+01:00,2017,2,5,1615.8704833984375,1656.816521605691,1705.7520306826523,1600.8902255177352,49220938,913159452,1475547405123.0923,1475.5474051230922,37.80851,25.753624,4.313929,642.5601,,23.917457329572223,Industrials,Consulting Services,Ireland,23300,2017-Q2
EXPN LN,EXPERIAN PLC,2017-06-01 00:00:00+01:00,2017,2,6,1572.92724609375,1620.864076450893,1641.976270116511,1571.9285621279762,35952504,913159452,1436333382078.838,1436.333382078838,37.80851,25.753624,4.313929,642.5601,,11.568878310851161,Industrials,Consulting Services,Ireland,23300,2017-Q2
EXPN LN,EXPERIAN PLC,2017-07-01 00:00:00+01:00,2017,3,7,1505.2191162109375,1570.1423030415353,1602.1044873273681,1497.4782747042125,60420842,913159452,1374505063299.104,1374.505063299104,37.80851,25.753624,4.313929,642.5601,,2.05170965459307,Industrials,Consulting Services,Ireland,23300,2017-Q3
EXPN LN,EXPERIAN PLC,2017-08-01 00:00:00+01:00,2017,3,8,1552.1634521484375,1516.2059976585124,1554.161088508989,1482.4799117619984,36586357,913159452,1417372727378.2954,1417.3727273782954,37.80851,25.753624,4.313929,642.5601,,2.6626867551543087,Industrials,Consulting Services,Ireland,23300,2017-Q3
EXPN LN,EXPERIAN PLC,2017-09-01 00:00:00+01:00,2017,3,9,1497.2283935546875,1554.1610275991286,1557.1574820225203,1426.3123055344188,56452074,913159452,1367208259377.2388,1367.2082593772388,37.80851,25.753624,4.313929,642.5601,,-2.8949359561388555,Industrials,Consulting Services,Ireland,23300,2017-Q3
EXPN LN,EXPERIAN PLC,2017-10-01 00:00:00+01:00,2017,4,10,1584.125732421875,1496.2297270920358,1598.1091878152586,1493.2332723648822,40951517,913159452,1446559385717.458,1446.559385717458,37.80851,25.753624,4.313929,642.5601,,0.8467777876816074,Industrials,Consulting Services,Ireland,23300,2017-Q4
EXPN LN,EXPERIAN PLC,2017-11-01 00:00:00+00:00,2017,4,11,1536.1824951171875,1585.1245902151993,1648.0501410555003,1531.1884037806558,50236495,913159452,1402779565413.2036,1402.7795654132035,37.80851,25.753624,4.313929,642.5601,,1.8748445191948626,Industrials,Consulting Services,Ireland,23300,2017-Q4
EXPN LN,EXPERIAN PLC,2017-12-01 00:00:00+00:00,2017,4,12,1634.06640625,1539.178687060666,1634.06640625,1521.1999613195292,42761082,913159452,1492163184062.8594,1492.1631840628593,37.80851,25.753624,4.313929,642.5601,,3.959958289496579,Industrials,Consulting Services,Ireland,23300,2017-Q4
EXPN LN,EXPERIAN PLC,2018-01-01 00:00:00+00:00,2018,1,1,1621.0821533203125,1634.066791640192,1688.0029815843059,1592.615830849808,66137994,913159452,1480306490772.9565,1480.3064907729565,37.80851,25.753624,4.313929,642.5601,,6.1620898860380136,Industrials,Consulting Services,Ireland,23300,2018-Q1
EXPN LN,EXPERIAN PLC,2018-02-01 00:00:00+00:00,2018,1,2,1554.2550048828125,1618.1832313047278,1627.1731381453096,1495.8206104190308,41734701,913159452,1419282648527.0464,1419.2826485270464,37.80851,25.753624,4.313929,642.5601,,-2.5483249429830157,Industrials,Consulting Services,Ireland,23300,2018-Q1
EXPN LN,EXPERIAN PLC,2018-03-01 00:00:00+00:00,2018,1,3,1535.775634765625,1552.75656861344,1622.6780609279726,1505.3098416857215,46785720,913159452,1402408037037.5303,1402.4080370375302,37.80851,25.753624,4.313929,642.5601,,-5.540578233016302,Industrials,Consulting Services,Ireland,23300,2018-Q1
EXPN LN,EXPERIAN PLC,2018-04-01 00:00:00+01:00,2018,2,4,1665.130615234375,1535.7758373862337,1681.612112025837,1492.8240578690902,49418780,913159452,1520529760115.8447,1520.5297601158447,37.80851,25.753624,4.313929,642.5601,,0.5017961497992607,Industrials,Consulting Services,Ireland,23300,2018-Q2
EXPN LN,EXPERIAN PLC,2018-05-01 00:00:00+01:00,2018,2,5,1839.4349365234375,1698.09361503657,1880.8883983022715,1678.1160430949633,80402199,913159452,1679697398625.397,1679.697398625397,37.80851,25.753624,4.313929,642.5601,,13.83554284962294,Industrials,Consulting Services,Ireland,23300,2018-Q2
EXPN LN,EXPERIAN PLC,2018-06-01 00:00:00+01:00,2018,2,6,1872.3974609375,1847.9249414427181,1921.342499927064,1823.452421947936,61889221,913159452,1709797439355.879,1709.7974393558789,37.80851,25.753624,4.313929,642.5601,,19.03903792037822,Industrials,Consulting Services,Ireland,23300,2018-Q2
EXPN LN,EXPERIAN PLC,2018-07-01 00:00:00+01:00,2018,3,7,1872.1356201171875,1855.6520354149816,1961.0470769957517,1853.154522581314,46183915,913159452,1709558336935.891,1709.558336935891,37.80851,25.753624,4.313929,642.5601,,24.37628515042267,Industrials,Consulting Services,Ireland,23300,2018-Q3
EXPN LN,EXPERIAN PLC,2018-08-01 00:00:00+01:00,2018,3,8,1918.0899658203125,1868.6392088890077,1952.0561422983806,1825.681985696157,49727395,913159452,1751521982075.1753,1751.5219820751754,37.80851,25.753624,4.313929,642.5601,,23.575256405204968,Industrials,Consulting Services,Ireland,23300,2018-Q3
EXPN LN,EXPERIAN PLC,2018-09-01 00:00:00+01:00,2018,3,9,1968.5396728515625,1917.5904095603014,1992.0162941720455,1868.1396540129012,42408993,913159452,1797590608901.392,1797.590608901392,37.80851,25.753624,4.313929,642.5601,,31.478916732129147,Industrials,Consulting Services,Ireland,23300,2018-Q3
EXPN LN,EXPERIAN PLC,2018-10-01 00:00:00+01:00,2018,4,10,1800.7066650390625,1972.535539594801,1992.0161387450155,1708.2986947111217,66411698,913159452,1644332311459.8179,1644.332311459818,37.80851,25.753624,4.313929,642.5601,,13.671953443119044,Industrials,Consulting Services,Ireland,23300,2018-Q4
EXPN LN,EXPERIAN PLC,2018-11-01 00:00:00+00:00,2018,4,11,1904.603271484375,1789.7176820688476,1918.0898406766325,1754.752502681513,61646594,913159452,1739206479666.079,1739.206479666079,37.80851,25.753624,4.313929,642.5601,,23.982878176142908,Industrials,Consulting Services,Ireland,23300,2018-Q4
EXPN LN,EXPERIAN PLC,2018-12-01 00:00:00+00:00,2018,4,12,1903.104736328125,1937.0709100998606,1966.5415608723958,1816.1912916769193,42913927,913159452,1737838078123.995,1737.838078123995,37.80851,25.753624,4.313929,642.5601,,16.46434496475195,Industrials,Consulting Services,Ireland,23300,2018-Q4
EXPN LN,EXPERIAN PLC,2019-01-01 00:00:00+00:00,2019,1,1,1910.0977783203125,1903.1047425210227,1967.5405723859076,1798.209205531675,46274440,913159452,1744223840517.394,1744.2238405173941,37.80851,25.753624,4.313929,642.5601,,17.828561273593447,Industrials,Consulting Services,Ireland,23300,2019-Q1
EXPN LN,EXPERIAN PLC,2019-02-01 00:00:00+00:00,2019,1,2,1961.66015625,1907.2112239782277,2067.0613003724216,1907.2112239782277,31672085,913159452,1791308513291.4844,1791.3085132914844,37.80851,25.753624,4.313929,642.5601,,26.212246387323358,Industrials,Consulting Services,Ireland,23300,2019-Q1
EXPN LN,EXPERIAN PLC,2019-03-01 00:00:00+00:00,2019,1,3,2077.052001953125,1971.650854186865,2100.030451229182,1960.1616295488366,31410455,913159452,1896679667879.0186,1896.6796678790186,37.80851,25.753624,4.313929,642.5601,,35.24449502482856,Industrials,Consulting Services,Ireland,23300,2019-Q1
EXPN LN,EXPERIAN PLC,2019-04-01 00:00:00+01:00,2019,2,4,2222.915283203125,2110.021158707865,2253.8862377106743,2068.0605106653793,35212204,913159452,2029876101852.1904,2029.8761018521905,37.80851,25.753624,4.313929,642.5601,,33.49795282517456,Industrials,Consulting Services,Ireland,23300,2019-Q2
EXPN LN,EXPERIAN PLC,2019-05-01 00:00:00+01:00,2019,2,5,2384.763671875,2243.895771693025,2387.760861240574,2140.9922701416526,41796489,913159452,2177669487758.8828,2177.669487758883,37.80851,25.753624,4.313929,642.5601,,29.64653571178999,Industrials,Consulting Services,Ireland,23300,2019-Q2
EXPN LN,EXPERIAN PLC,2019-06-01 00:00:00+01:00,2019,2,6,2381.766357421875,2406.7429341565844,2460.6923399035563,2336.8085192993985,45860008,913159452,2174932461735.3955,2174.9324617353955,37.80851,25.753624,4.313929,642.5601,,27.204101004780078,Industrials,Consulting Services,Ireland,23300,2019-Q2
EXPN LN,EXPERIAN PLC,2019-07-01 00:00:00+01:00,2019,3,7,2497.92919921875,2404.007061328125,2530.9018646484374,2318.078296875,39505032,913159452,2281007658693.3926,2281.0076586933924,37.80851,25.753624,4.313929,642.5601,,33.426722528915434,Industrials,Consulting Services,Ireland,23300,2019-Q3
