ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_subscribers_millions,sector,industry,country,employees,year_quarter
DOCU,DOCUSIGN INC,2019-02-01 00:00:00-05:00,2019,1,2,55.150001525878906,49.33000183105469,56.22999954223633,48.209999084472656,38734500,201104117,11090892359.41053,11.09089235941053,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2019-Q1
DOCU,DOCUSIGN INC,2019-03-01 00:00:00-05:00,2019,1,3,51.84000015258789,55.90999984741211,59.619998931884766,51.13999938964844,56620800,201104117,10425237455.966053,10.425237455966053,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2019-Q1
DOCU,DOCUSIGN INC,2019-04-01 00:00:00-04:00,2019,2,4,56.66999816894531,52.45000076293945,58.369998931884766,50.91999816894531,37954000,201104117,11396569942.157364,11.396569942157363,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,46.69944758484641,,Technology,Software - Application,United States,6838,2019-Q2
DOCU,DOCUSIGN INC,2019-05-01 00:00:00-04:00,2019,2,5,56.060001373291016,57.099998474121094,57.41999816894531,50.02000045776367,38160500,201104117,11273897075.194477,11.273897075194476,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,12.54768084256941,,Technology,Software - Application,United States,6838,2019-Q2
DOCU,DOCUSIGN INC,2019-06-01 00:00:00-04:00,2019,2,6,49.709999084472656,56.0,56.099998474121094,45.67499923706055,81566500,201104117,9996885471.953682,9.996885471953682,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-6.118983251714183,,Technology,Software - Application,United States,6838,2019-Q2
DOCU,DOCUSIGN INC,2019-07-01 00:00:00-04:00,2019,3,7,51.720001220703125,50.529998779296875,54.779998779296875,49.52000045776367,36941700,201104117,10401105176.728424,10.401105176728423,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-4.044527353360284,,Technology,Software - Application,United States,6838,2019-Q3
DOCU,DOCUSIGN INC,2019-08-01 00:00:00-04:00,2019,3,8,46.689998626708984,51.72999954223633,53.0,43.130001068115234,41462700,201104117,9389550946.555523,9.389550946555524,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-25.224215801412374,,Technology,Software - Application,United States,6838,2019-Q3
DOCU,DOCUSIGN INC,2019-09-01 00:00:00-04:00,2019,3,9,61.91999816894531,46.56999969482422,65.06999969482422,45.52000045776367,110025400,201104117,12452366556.407364,12.452366556407364,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,17.78580659767752,,Technology,Software - Application,United States,6838,2019-Q3
DOCU,DOCUSIGN INC,2019-10-01 00:00:00-04:00,2019,4,10,66.19000244140625,62.029998779296875,68.16999816894531,59.77000045776367,56592700,201104117,13311081995.206848,13.311081995206848,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,57.82070722161146,,Technology,Software - Application,United States,6838,2019-Q4
DOCU,DOCUSIGN INC,2019-11-01 00:00:00-04:00,2019,4,11,71.20999908447266,66.77999877929688,73.22000122070312,64.25,35906600,201104117,14320623987.453682,14.320623987453683,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,70.52203531280747,,Technology,Software - Application,United States,6838,2019-Q4
DOCU,DOCUSIGN INC,2019-12-01 00:00:00-05:00,2019,4,12,74.11000061035156,72.44000244140625,76.27999877929688,66.97000122070312,44149100,201104117,14903826233.614212,14.903826233614213,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,84.90518269619898,,Technology,Software - Application,United States,6838,2019-Q4
DOCU,DOCUSIGN INC,2020-01-01 00:00:00-05:00,2020,1,1,78.51000213623047,74.30999755859375,80.26000213623047,70.55000305175781,41361500,201104117,15788684655.274742,15.788684655274743,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,58.766432608571726,,Technology,Software - Application,United States,6838,2020-Q1
DOCU,DOCUSIGN INC,2020-02-01 00:00:00-05:00,2020,1,2,86.30999755859375,79.0999984741211,92.55000305175781,76.18000030517578,34275400,201104117,17357295847.29315,17.357295847293152,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,56.500444552287355,,Technology,Software - Application,United States,6838,2020-Q1
DOCU,DOCUSIGN INC,2020-03-01 00:00:00-05:00,2020,1,3,92.4000015258789,87.38999938964844,98.37999725341797,64.87999725341797,88709000,201104117,18582020717.66053,18.58202071766053,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,78.24074315953919,,Technology,Software - Application,United States,6838,2020-Q1
DOCU,DOCUSIGN INC,2020-04-01 00:00:00-04:00,2020,2,4,104.75,90.81999969482422,111.36000061035156,78.72000122070312,70328100,201104117,21065656255.75,21.06565625575,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,84.84207408604105,,Technology,Software - Application,United States,6838,2020-Q2
DOCU,DOCUSIGN INC,2020-05-01 00:00:00-04:00,2020,2,5,139.74000549316406,103.19000244140625,141.42999267578125,101.87999725341797,73063500,201104117,28102290414.27791,28.10229041427791,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,149.26864443449907,,Technology,Software - Application,United States,6838,2020-Q2
DOCU,DOCUSIGN INC,2020-06-01 00:00:00-04:00,2020,2,6,172.2100067138672,142.35000610351562,180.4510040283203,131.25999450683594,136450500,201104117,34632141338.75633,34.632141338756334,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,246.42930976769713,,Technology,Software - Application,United States,6838,2020-Q2
DOCU,DOCUSIGN INC,2020-07-01 00:00:00-04:00,2020,3,7,216.8300018310547,171.25,217.6999969482422,170.8000030517578,115534400,201104117,43605406057.342636,43.605406057342634,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,319.23819936852453,,Technology,Software - Application,United States,6838,2020-Q3
DOCU,DOCUSIGN INC,2020-08-01 00:00:00-04:00,2020,3,8,223.0,218.72000122070312,229.8300018310547,189.1199951171875,69337200,201104117,44846218091.0,44.846218091,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,377.6183477384662,,Technology,Software - Application,United States,6838,2020-Q3
DOCU,DOCUSIGN INC,2020-09-01 00:00:00-04:00,2020,3,9,215.24000549316406,240.67999267578125,290.2300109863281,187.2100067138672,208479300,201104117,43285651247.77791,43.285651247777906,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,247.60983827210964,,Technology,Software - Application,United States,6838,2020-Q3
DOCU,DOCUSIGN INC,2020-10-01 00:00:00-04:00,2020,4,10,202.25,218.8000030517578,246.8000030517578,200.22999572753906,78849400,201104117,40673307663.25,40.67330766325,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,205.5597409579172,,Technology,Software - Application,United States,6838,2020-Q4
DOCU,DOCUSIGN INC,2020-11-01 00:00:00-04:00,2020,4,11,227.8800048828125,204.2100067138672,246.0,185.35899353027344,71956600,201104117,45827607163.9137,45.8276071639137,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,220.01124534841026,,Technology,Software - Application,United States,6838,2020-Q4
DOCU,DOCUSIGN INC,2020-12-01 00:00:00-05:00,2020,4,12,222.3000030517578,222.0,256.0,209.11000061035156,94463700,201104117,44705445822.82106,44.70544582282106,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,199.95952128046173,,Technology,Software - Application,United States,6838,2020-Q4
DOCU,DOCUSIGN INC,2021-01-01 00:00:00-05:00,2021,1,1,232.88999938964844,222.38999938964844,263.0,216.5,60933800,201104117,46835137685.38579,46.83513768538579,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,196.637362186716,,Technology,Software - Application,United States,6838,2021-Q1
DOCU,DOCUSIGN INC,2021-02-01 00:00:00-05:00,2021,1,2,226.66000366210938,233.25,275.4599914550781,219.14999389648438,58771300,201104117,45582259895.68527,45.58225989568527,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,162.61152829744367,,Technology,Software - Application,United States,6838,2021-Q1
DOCU,DOCUSIGN INC,2021-03-01 00:00:00-05:00,2021,1,3,202.4499969482422,233.3699951171875,246.11000061035156,188.91000366210938,85761500,201104117,40713527872.92894,40.71352787292894,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,119.10172468075237,,Technology,Software - Application,United States,6838,2021-Q1
DOCU,DOCUSIGN INC,2021-04-01 00:00:00-04:00,2021,2,4,222.94000244140625,205.3000030517578,236.10699462890625,202.3000030517578,44333000,201104117,44834152334.95685,44.83415233495685,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,112.8305512567124,,Technology,Software - Application,United States,6838,2021-Q2
DOCU,DOCUSIGN INC,2021-05-01 00:00:00-04:00,2021,2,5,201.6199951171875,224.02999877929688,224.02999877929688,179.49000549316406,53790200,201104117,40546611087.5863,40.54661108758631,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,44.282229276891314,,Technology,Software - Application,United States,6838,2021-Q2
DOCU,DOCUSIGN INC,2021-06-01 00:00:00-04:00,2021,2,6,279.57000732421875,202.10000610351562,286.510009765625,193.66000366210938,87766800,201104117,56222679462.620544,56.22267946262055,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,62.34248674569409,,Technology,Software - Application,United States,6838,2021-Q2
DOCU,DOCUSIGN INC,2021-07-01 00:00:00-04:00,2021,3,7,298.0400085449219,278.6300048828125,310.5060119628906,270.4100036621094,44008300,201104117,59937072749.09897,59.93707274909897,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,37.453307212137,,Technology,Software - Application,United States,6838,2021-Q3
DOCU,DOCUSIGN INC,2021-08-01 00:00:00-04:00,2021,3,8,296.239990234375,299.79998779296875,314.760009765625,281.2799987792969,33106600,201104117,59575081656.17261,59.57508165617261,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,32.84304494815022,,Technology,Software - Application,United States,6838,2021-Q3
DOCU,DOCUSIGN INC,2021-09-01 00:00:00-04:00,2021,3,9,257.42999267578125,296.3429870605469,314.70001220703125,253.02999877929688,62728600,201104117,51770231366.379456,51.770231366379456,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,19.601368753894178,,Technology,Software - Application,United States,6838,2021-Q3
DOCU,DOCUSIGN INC,2021-10-01 00:00:00-04:00,2021,4,10,278.2900085449219,257.0,288.5,241.95199584960938,39879900,201104117,55965266438.34897,55.96526643834897,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,37.59703759946693,,Technology,Software - Application,United States,6838,2021-Q4
DOCU,DOCUSIGN INC,2021-11-01 00:00:00-04:00,2021,4,11,246.36000061035156,277.2699890136719,288.135009765625,233.3300018310547,36277000,201104117,49544010386.86421,49.544010386864215,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,8.109529283643123,,Technology,Software - Application,United States,6838,2021-Q4
DOCU,DOCUSIGN INC,2021-12-01 00:00:00-05:00,2021,4,12,152.30999755859375,248.0800018310547,249.63999938964844,131.50999450683594,236916600,201104117,30630167569.29315,30.630167569293153,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-31.484482470685514,,Technology,Software - Application,United States,6838,2021-Q4
DOCU,DOCUSIGN INC,2022-01-01 00:00:00-05:00,2022,1,1,125.7699966430664,152.35000610351562,157.3699951171875,108.05999755859375,102490300,201104117,25292864119.996834,25.292864119996835,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-45.99596505960716,,Technology,Software - Application,United States,6838,2022-Q1
DOCU,DOCUSIGN INC,2022-02-01 00:00:00-05:00,2022,1,2,118.43000030517578,127.58999633789062,131.90699768066406,100.0,65824900,201104117,23816760637.682106,23.816760637682105,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-47.74993453113861,,Technology,Software - Application,United States,6838,2022-Q1
DOCU,DOCUSIGN INC,2022-03-01 00:00:00-05:00,2022,1,3,107.12000274658203,117.55000305175781,123.5,71.0,193898300,201104117,21542273565.388954,21.542273565388953,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-47.08816776422672,,Technology,Software - Application,United States,6838,2022-Q1
DOCU,DOCUSIGN INC,2022-04-01 00:00:00-04:00,2022,2,4,81.0,107.0,113.66999816894531,80.63099670410156,79003600,201104117,16289433477.0,16.289433477,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-63.66735484301941,,Technology,Software - Application,United States,6838,2022-Q2
DOCU,DOCUSIGN INC,2022-05-01 00:00:00-04:00,2022,2,5,83.91000366210938,80.7300033569336,88.58000183105469,64.83999633789062,92732400,201104117,16874647193.935272,16.87464719393527,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-58.382102125665455,,Technology,Software - Application,United States,6838,2022-Q2
DOCU,DOCUSIGN INC,2022-06-01 00:00:00-04:00,2022,2,6,57.380001068115234,85.31999969482422,92.04000091552734,55.86000061035156,161964000,201104117,11539354448.262371,11.53935444826237,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,-79.4756234342508,,Technology,Software - Application,United States,6838,2022-Q2
