ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_subscribers_millions,sector,industry,country,employees,year_quarter
SPT,"Sprout Social, Inc.",2020-10-01 00:00:00-04:00,2020,4,10,43.70000076293945,39.540000915527344,51.56999969482422,37.13999938964844,9931000,52645842,2300623335.56559,2.30062333556559,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q4
SPT,"Sprout Social, Inc.",2020-11-01 00:00:00-04:00,2020,4,11,51.380001068115234,44.0,52.650001525878906,41.22999954223633,14621500,52645842,2704943418.191826,2.7049434181918257,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q4
SPT,"Sprout Social, Inc.",2020-12-01 00:00:00-05:00,2020,4,12,45.40999984741211,50.5099983215332,56.650001525878906,44.29999923706055,15837500,52645842,2390647677.186882,2.390647677186882,,,,,,,,,15.845071,1.53593,3.585086,,,,182.92836140800128,,Technology,Software - Application,United States,1322,2020-Q4
SPT,"Sprout Social, Inc.",2021-01-01 00:00:00-05:00,2021,1,1,66.0,45.88999938964844,70.95999908447266,45.0,9331200,52645842,3474625572.0,3.474625572,,,,,,,,,15.845071,1.53593,3.585086,,,,221.48074911138275,,Technology,Software - Application,United States,1322,2021-Q1
SPT,"Sprout Social, Inc.",2021-02-01 00:00:00-05:00,2021,1,2,67.97000122070312,66.63999938964844,82.47000122070312,61.95000076293945,12422000,52645842,3578337945.004944,3.578337945004944,,,,,,,,,15.845071,1.53593,3.585086,,,,245.90332081536678,,Technology,Software - Application,United States,1322,2021-Q1
SPT,"Sprout Social, Inc.",2021-03-01 00:00:00-05:00,2021,1,3,57.7599983215332,68.72000122070312,73.05999755859375,49.45000076293945,18018100,52645842,3040823745.555702,3.040823745555702,,,,,,,,,15.845071,1.53593,3.585086,,,,261.9047505230419,,Technology,Software - Application,United States,1322,2021-Q1
SPT,"Sprout Social, Inc.",2021-04-01 00:00:00-04:00,2021,2,4,66.29000091552734,59.18000030517578,71.93000030517578,55.96500015258789,7563800,52645842,3489892914.378708,3.489892914378708,,,,,,,,,15.845071,1.53593,3.585086,,,,294.1141624153883,,Technology,Software - Application,United States,1322,2021-Q2
SPT,"Sprout Social, Inc.",2021-05-01 00:00:00-04:00,2021,2,5,69.41999816894531,66.5999984741211,72.0,52.97999954223633,11335600,52645842,3654674255.242584,3.6546742552425844,,,,,,,,,15.845071,1.53593,3.585086,,,,151.9782217473197,,Technology,Software - Application,United States,1322,2021-Q2
SPT,"Sprout Social, Inc.",2021-06-01 00:00:00-04:00,2021,2,6,89.41999816894531,70.0,95.24500274658203,66.0999984741211,15722500,52645842,4707591095.242584,4.707591095242584,,,,,,,,,15.845071,1.53593,3.585086,,,,231.18517840350114,,Technology,Software - Application,United States,1322,2021-Q2
SPT,"Sprout Social, Inc.",2021-07-01 00:00:00-04:00,2021,3,7,88.83999633789062,88.87000274658203,95.75,79.02999877929688,7294100,52645842,4677056410.485168,4.677056410485169,,,,,,,,,15.845071,1.53593,3.585086,,,,207.51124338799,,Technology,Software - Application,United States,1322,2021-Q3
SPT,"Sprout Social, Inc.",2021-08-01 00:00:00-04:00,2021,3,8,121.5999984741211,89.04000091552734,125.19999694824219,86.66000366210938,7884300,52645842,6401734306.86882,6.40173430686882,,,,,,,,,15.845071,1.53593,3.585086,,,,213.8064476751512,,Technology,Software - Application,United States,1322,2021-Q3
SPT,"Sprout Social, Inc.",2021-09-01 00:00:00-04:00,2021,3,9,121.94999694824219,121.80999755859375,145.4199981689453,115.66999816894531,9997200,52645842,6420160271.23764,6.42016027123764,,,,,,,,,15.845071,1.53593,3.585086,,,,216.75323882660308,,Technology,Software - Application,United States,1322,2021-Q3
SPT,"Sprout Social, Inc.",2021-10-01 00:00:00-04:00,2021,4,10,127.68000030517578,122.41999816894531,135.3300018310547,109.01899719238281,7092200,52645842,6721821122.626236,6.721821122626236,,,,,,,,,15.845071,1.53593,3.585086,,,,192.17390864088273,,Technology,Software - Application,United States,1322,2021-Q4
SPT,"Sprout Social, Inc.",2021-11-01 00:00:00-04:00,2021,4,11,111.68000030517578,126.7699966430664,142.61000061035156,103.20999908447266,8817000,52645842,5879487650.626236,5.879487650626236,,,,,,,,,15.845071,1.53593,3.585086,,,,117.36083686942695,,Technology,Software - Application,United States,1322,2021-Q4
SPT,"Sprout Social, Inc.",2021-12-01 00:00:00-05:00,2021,4,12,90.69000244140625,113.37999725341797,114.0,79.08000183105469,11974100,52645842,4774451539.509888,4.774451539509887,,,,,,,,,15.845071,1.53593,3.585086,,,,99.71372549250212,,Technology,Software - Application,United States,1322,2021-Q4
SPT,"Sprout Social, Inc.",2022-01-01 00:00:00-05:00,2022,1,1,68.8499984741211,90.91999816894531,91.13500213623047,54.20000076293945,15787500,52645842,3624666141.36882,3.62466614136882,,,,,,,,,15.845071,1.53593,3.585086,,,,4.318179506244091,,Technology,Software - Application,United States,1322,2022-Q1
SPT,"Sprout Social, Inc.",2022-02-01 00:00:00-05:00,2022,1,2,65.11000061035156,69.43000030517578,79.30999755859375,48.790000915527344,15264500,52645842,3427770804.752472,3.427770804752472,,,,,,,,,15.845071,1.53593,3.585086,,,,-4.207739530656984,,Technology,Software - Application,United States,1322,2022-Q1
SPT,"Sprout Social, Inc.",2022-03-01 00:00:00-05:00,2022,1,3,80.12000274658203,65.11000061035156,83.81999969482422,53.900001525878906,14116700,52645842,4217985005.6361237,4.217985005636123,,,,,,,,,15.845071,1.53593,3.585086,,,,38.71192014337872,,Technology,Software - Application,United States,1322,2022-Q1
SPT,"Sprout Social, Inc.",2022-04-01 00:00:00-04:00,2022,2,4,61.279998779296875,79.91999816894531,85.98999786376953,58.755001068115234,8002500,52645842,3226137133.495056,3.226137133495056,,,,,,,,,15.845071,1.53593,3.585086,,,,-7.557704128884635,,Technology,Software - Application,United States,1322,2022-Q2
SPT,"Sprout Social, Inc.",2022-05-01 00:00:00-04:00,2022,2,5,50.93000030517578,62.119998931884766,65.70999908447266,38.39099884033203,20830200,52645842,2681252749.126236,2.681252749126236,,,,,,,,,15.845071,1.53593,3.585086,,,,-26.634973136661564,,Technology,Software - Application,United States,1322,2022-Q2
SPT,"Sprout Social, Inc.",2022-06-01 00:00:00-04:00,2022,2,6,58.06999969482422,51.72999954223633,70.41999816894531,44.369998931884766,13677200,52645842,3057144028.873764,3.057144028873764,,,,,,,,,15.845071,1.53593,3.585086,,,,-35.0592698681229,,Technology,Software - Application,United States,1322,2022-Q2
SPT,"Sprout Social, Inc.",2022-07-01 00:00:00-04:00,2022,3,7,52.099998474121094,57.88999938964844,66.3499984741211,48.56999969482422,9503100,52645842,2742848287.86882,2.7428482878688203,,,,,,,,,15.845071,1.53593,3.585086,,,,-41.35524468510111,,Technology,Software - Application,United States,1322,2022-Q3
SPT,"Sprout Social, Inc.",2022-08-01 00:00:00-04:00,2022,3,8,60.040000915527344,51.369998931884766,68.37999725341797,49.900001525878906,10092500,52645842,3160856401.878708,3.160856401878708,,,,,,,,,15.845071,1.53593,3.585086,,,,-50.62499862752461,,Technology,Software - Application,United States,1322,2022-Q3
