ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,current_pe,forward_pe,current_ps,current_pb,peg_ratio,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
3690 HK,MEITUAN DIANPING-CLASS B,2019-07-01 00:00:00+08:00,2019,3,7,63.95000076293945,68.5,70.5,62.900001525878906,252882097,5527428787,353479075145.74347,353.4790751457435,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q3
3690 HK,MEITUAN DIANPING-CLASS B,2019-08-01 00:00:00+08:00,2019,3,8,74.3499984741211,63.95000076293945,77.0,59.150001525878906,457629135,5527428787,410964321879.263,410.964321879263,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q3
3690 HK,MEITUAN DIANPING-CLASS B,2019-09-01 00:00:00+08:00,2019,3,9,80.0999984741211,73.75,81.4000015258789,69.8499984741211,439803110,5527428787,442747037404.513,442.747037404513,20.234375,11.297709,1.7551672,3.4059901,,16.50908868963068,Consumer Cyclical,Internet Retail,China,108900,2019-Q3
3690 HK,MEITUAN DIANPING-CLASS B,2019-10-01 00:00:00+08:00,2019,4,10,93.6500015258789,80.0999984741211,97.4000015258789,79.44999694824219,521368582,5527428787,517643714336.737,517.643714336737,20.234375,11.297709,1.7551672,3.4059901,,84.71400417479862,Consumer Cyclical,Internet Retail,China,108900,2019-Q4
3690 HK,MEITUAN DIANPING-CLASS B,2019-11-01 00:00:00+08:00,2019,4,11,103.19999694824219,94.1500015258789,106.9000015258789,90.80000305175781,531228146,5527428787,570430633950.026,570.430633950026,20.234375,11.297709,1.7551672,3.4059901,,96.75880924135673,Consumer Cyclical,Internet Retail,China,108900,2019-Q4
3690 HK,MEITUAN DIANPING-CLASS B,2019-12-01 00:00:00+08:00,2019,4,12,101.9000015258789,104.0,107.4000015258789,98.69999694824219,301890548,5527428787,563245001829.4869,563.2450018294869,20.234375,11.297709,1.7551672,3.4059901,,132.11844643287583,Consumer Cyclical,Internet Retail,China,108900,2019-Q4
3690 HK,MEITUAN DIANPING-CLASS B,2020-01-01 00:00:00+08:00,2020,1,1,99.30000305175781,101.9000015258789,116.0,96.30000305175781,500849662,5527428787,548873695417.474,548.873695417474,20.234375,11.297709,1.7551672,3.4059901,,86.30394835486703,Consumer Cyclical,Internet Retail,China,108900,2020-Q1
3690 HK,MEITUAN DIANPING-CLASS B,2020-02-01 00:00:00+08:00,2020,1,2,98.9000015258789,96.9000015258789,104.69999694824219,94.8499984741211,634541440,5527428787,546662715468.487,546.662715468487,20.234375,11.297709,1.7551672,3.4059901,,62.397371178804065,Consumer Cyclical,Internet Retail,China,108900,2020-Q1
3690 HK,MEITUAN DIANPING-CLASS B,2020-03-01 00:00:00+08:00,2020,1,3,93.6500015258789,98.0,103.80000305175781,70.0999984741211,850286074,5527428787,517643714336.737,517.643714336737,20.234375,11.297709,1.7551672,3.4059901,,77.03213388389965,Consumer Cyclical,Internet Retail,China,108900,2020-Q1
3690 HK,MEITUAN DIANPING-CLASS B,2020-04-01 00:00:00+08:00,2020,2,4,103.80000305175781,95.0,104.80000305175781,91.69999694824219,362177546,5527428787,573747124958.974,573.747124958974,20.234375,11.297709,1.7551672,3.4059901,,82.10526851185583,Consumer Cyclical,Internet Retail,China,108900,2020-Q2
