group,Date,group_index,weighting,start
AI-Exposed / Big Tech,2023-08-31,100.13168220299488,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-09-01,100.30349536734873,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-09-30,96.20581132236256,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-10-27,93.58020971636579,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-10-28,95.67060748103022,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-10-29,93.61685051869037,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-10-31,93.47493356162649,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-11-30,100.04324897969087,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-12-01,100.31643775384774,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-12-24,99.9408166460993,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-12-29,99.95924262773143,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-12-30,96.97118451484131,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-12-31,97.64242976850524,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-01-26,100.2518440211403,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-01-27,100.29239292053934,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-01-28,100.28550971230497,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-01-31,100.13710676527418,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-02-29,100.02400622930794,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-03-01,100.32516092234806,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-03-30,88.10061467260661,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-03-31,98.06128207946388,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-05-04,100.09146645485775,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-05-05,100.14043745248199,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-05-31,100.19478395124187,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-06-23,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-06-28,99.95936714975846,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-06-29,91.91652712940042,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-06-30,98.0399990224547,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-07-26,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-07-27,100.04572326890141,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-07-28,100.0515673417178,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-07-31,99.92251202168768,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-08-30,100.36669404657594,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-08-31,100.07010838928242,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-09-27,100.00000000000001,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-09-28,97.63612106235885,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-09-29,100.04650512917539,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-09-30,98.46154563220847,Equal-weighted,2021-01-01
