"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 10/26/2020",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.799,"HEXAB SS","HEXAGON AB-B SHS",B1XFTL2,74.54,"10,691.00","796,875.07"
0.771,TTD,"TRADE DESK INC-A",BD8FDD1,608.32,"1,264.00","768,916.48"
0.611,CRWD,"CROWDSTRIKE HO-A",BJJP138,133.08,"4,580.00","609,506.40"
0.605,FTNT,"FORTINET INC",B5B2106,123.18,"4,897.00","603,212.46"
0.473,ZBRA,"ZEBRA TECH CORP",2989356,295.10,"1,599.00","471,864.90"
0.417,WIX,"WIX.COM LTD",BFZCHN7,265.69,"1,564.00","415,539.16"
0.416,HUBS,"HUBSPOT INC",BR4T3B3,306.32,"1,353.00","414,450.96"
0.389,LPSN,"LIVEPERSON INC",2577052,56.63,"6,844.00","387,575.72"
0.383,ZEN,"ZENDESK INC",BMH0MR7,108.05,"3,537.00","382,172.85"
0.381,STX,"SEAGATE TECHNOLOGY",B58JVZ5,48.96,"7,769.00","380,370.24"
0.377,"2344 TT","WINBOND ELECTRONICS CORP",6966515,0.65,"577,600.00","375,536.91"
0.372,"6502 JP","TOSHIBA CORP",6897217,26.82,"13,830.00","370,989.27"
0.370,FICO,"FAIR ISAAC CORP",2330299,415.59,887.00,"368,628.33"
0.370,NLOK,"NORTONLIFELOCK INC",BJN4XN5,20.62,"17,891.00","368,912.42"
0.357,"XRO AU","XERO LTD",B8P4LP4,81.24,"4,376.00","355,495.47"
0.354,HPE,"HEWLETT PACKA",BYVYWS0,9.06,"38,915.00","352,569.90"
0.353,STNE,"STONECO LTD-A",BGKG6M3,56.15,"6,266.00","351,835.90"
0.350,PLAN,"ANAPLAN INC",BD9PLW5,57.54,"6,058.00","348,577.32"
0.336,NUAN,"NUANCE COMMUNICATIONS INC",2402121,33.04,"10,145.00","335,190.80"
0.336,PEGA,"PEGASYSTEMS INC",2675860,129.38,"2,593.00","335,482.34"
0.334,AMBA,"AMBARELLA INC",B7KH3G6,56.01,"5,948.00","333,147.48"
0.330,"CCC LN","COMPUTACENTER PLC",BV9FP30,30.71,"10,713.00","328,978.26"
0.326,"OTEX CN","OPEN TEXT CORP",2260824,39.55,"8,220.00","325,080.18"
0.314,LSCC,"LATTICE SEMICOND",2506658,33.94,"9,218.00","312,858.92"
0.310,VRNT,"VERINT SYSTEMS INC",2849193,50.56,"6,119.00","309,376.64"
0.306,TME,"TENCENT MUSI-ADR",BFZYWR2,15.04,"20,305.00","305,387.20"
0.303,PTC,"PTC INC",B95N910,83.67,"3,612.00","302,216.04"
0.302,NTAP,"NETAPP INC",2630643,44.93,"6,705.00","301,255.65"
0.290,"2337 TT","MACRONIX INTERNATIONAL",6574101,1.19,"243,000.00","288,800.34"
0.287,DXC,"DXC TECHNOLOGY CO",BYXD7B3,18.64,"15,359.00","286,291.76"
0.286,ENV,"ENVESTNET INC",B474ZK7,81.55,"3,491.00","284,691.05"
0.286,FEYE,"FIREEYE INC",BD4R405,14.15,"20,179.00","285,532.85"
0.285,CSOD,"CORNERSTONE ONDEMAND INC",B404719,38.45,"7,399.00","284,491.55"
0.278,BB,"BLACKBERRY LTD",BCBHZ42,4.88,"56,813.00","277,247.44"
0.262,PSTG,"PURE STORAGE-A",BYZ62T3,17.45,"14,964.00","261,121.80"
0.258,TDC,"TERADATA CORP",B247H10,19.59,"13,148.00","257,569.32"
0.254,"8299 TT","PHISON ELECTRONICS CORP",6728469,10.38,"24,390.00","253,209.94"
0.248,G,"GENPACT LTD",B23DBK6,35.55,"6,962.00","247,499.10"
0.243,NLSN,"NIELSEN HOLDINGS PLC",BWFY550,13.65,"17,768.00","242,533.20"
0.235,JNPR,"JUNIPER NETWORKS INC",2431846,21.89,"10,709.00","234,420.01"
0.232,"ENR GR","SIEMENS ENERGY AG NPV",BMTVQK9,23.32,"9,937.50","231,761.48"
0.230,YELP,"YELP INC",B7KCD72,20.34,"11,300.00","229,842.00"
0.228,CLDR,"CLOUDERA INC",BYQHPY1,9.76,"23,335.00","227,749.60"
0.221,"SOW GR","SOFTWARE AG",BF06WX9,38.41,"5,735.00","220,264.12"
0.217,PRO,"PROS HOLDINGS INC",B1YWQK0,32.09,"6,758.00","216,864.22"
0.128,,CASH,,1.00,"127,407.27","127,309.79"
