"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/26/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.36,CYBR,"CYBERARK SOFTWAR",BQT3XY6,480.45,"44,202.00","21,236,850.90"
0.36,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,15.94,"1,325,289.00","21,125,106.66"
0.34,AMBA,"AMBARELLA INC",B7KH3G6,83.28,"238,743.00","19,882,517.04"
0.33,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,72.46,"266,802.00","19,332,472.92"
0.32,"4755 JP","RAKUTEN GROUP INC",6229597,6.49,"2,953,133.00","19,160,155.25"
0.32,HPE,"HEWLETT PACKA",BYVYWS0,24.00,"780,412.00","18,729,888.00"
0.32,WIX,"WIX.COM LTD",BFZCHN7,177.42,"105,486.00","18,715,326.12"
0.32,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,20.15,"925,944.00","18,653,141.88"
0.31,"WKL NA","WOLTERS KLUWER",5671519,131.24,"140,418.00","18,428,744.05"
0.29,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.04,"2,114,213.00","17,001,492.47"
0.28,WRD,"WERIDE INC-ADR",BMYDW80,10.19,"1,618,337.00","16,490,854.03"
0.28,"TIETO FH","TIETOEVRY OYJ",5479702,17.64,"931,494.00","16,434,477.73"
0.28,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.81,"660,228.00","16,380,256.68"
0.28,"6954 JP","FANUC CORP",6356934,28.48,"574,625.00","16,363,465.89"
0.28,"3443 TT","GLOBAL UNICHIP CORP",B056381,41.09,"398,176.00","16,362,772.15"
0.28,PEGA,"PEGASYSTEMS INC",2675860,58.66,"278,614.00","16,343,497.24"
0.27,TDC,"TERADATA CORP",B247H10,22.19,"727,587.00","16,145,155.53"
0.27,"6588 JP","TOSHIBA TEC CORP",6894887,20.57,"780,289.00","16,048,885.82"
0.27,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,45.82,"348,750.00","15,979,725.00"
0.27,"6526 JP","SOCIONEXT INC",BMTVX75,18.67,"854,936.00","15,960,177.76"
0.27,PATH,"UIPATH INC - CLASS A",BMD02L5,12.21,"1,280,978.00","15,640,741.38"
0.26,"2353 TT","ACER INC",6005850,1.01,"15,319,500.00","15,425,092.91"
0.26,OKTA,"OKTA INC",BDFZSP1,91.16,"169,147.00","15,419,440.52"
0.26,DXC,"DXC TECHNOLOGY CO",BYXD7B3,14.01,"1,092,077.00","15,299,998.77"
0.26,CCCS,"CCC INTELLIGENT",BP4CXL8,9.31,"1,618,676.00","15,069,873.56"
0.25,G,"GENPACT LTD",B23DBK6,42.21,"351,832.00","14,850,828.72"
0.25,VRNT,"VERINT SYSTEMS INC",2849193,20.26,"726,546.00","14,719,821.96"
0.24,"2395 TT","ADVANTECH CO LTD",6202673,10.36,"1,393,957.00","14,446,451.01"
0.24,ZBRA,"ZEBRA TECH CORP",2989356,299.77,"48,085.00","14,414,440.45"
0.24,NICE,"NICE LTD - SPON ADR",2639736,145.78,"98,750.00","14,395,775.00"
0.24,"TEMN SW","TEMENOS AG - REG",7147892,79.58,"176,942.00","14,081,352.58"
0.23,SNAP,"SNAP INC - A",BD8DJ71,8.27,"1,605,568.00","13,278,047.36"
0.22,,CASH,,1.00,"13,204,961.02","13,204,961.02"
0.21,TWLO,"TWILIO INC - A",BD6P5Q0,102.34,"121,627.00","12,447,307.18"
0.21,TTD,"TRADE DESK INC-A",BD8FDD1,47.14,"261,837.00","12,342,996.18"
0.19,"AMP IM","AMPLIFON SPA",B14NJ71,16.28,"687,303.00","11,185,981.08"
